,,,Salary,Salary,Salary,Salary,Salary,Salary,,
304,Ryan Kelly,LAL,$1724250,,,,,,Room Exception,$1724250
305,Joffrey Lauvergne,DEN,$1709720,$1709720,$2136475,,,,MLE,$1709720
306,Tyler Ennis,MIL,$1662360,$1733880,$2666707,,,,1st Round Pick,$3396240
307,Lou Amundson,NYK,$1650000,,,,,,,$1650000
308,Lance Thomas,NYK,$1650000,,,,,,Cap Space,$1650000
309,Sam Dekker,HOU,$1646400,$1720560,$1794600,$2760095,,,1st Round pick,$3366960
310,Sergey Karasev,BRK,$1599840,,,,,,1st Round Pick,$1599840
311,Gary Harris,DEN,$1587480,$1655880,$2550055,,,,1st Round Pick,$3243360
312,Jerian Grant,NYK,$1572360,$1643040,$1713840,$2639314,,,1st Round pick,$3215400
313,Tony Snell,CHI,$1535880,$2368327,,,,,1st Round Pick,$3904207
314,Bruno Caboclo,TOR,$1524000,$1589640,$2451225,,,,1st Round Pick,$3113640
315,Delon Wright,TOR,$1509360,$1577280,$1645200,$2536898,,,1st Round pick,$3086640
316,Wayne Ellington,BRK,$1500000,$1500000,,,,,Mini MLE,$1500000
317,Shane Larkin,BRK,$1500000,$1500000,,,,,Mini MLE,$3000000
318,Kendrick Perkins,NOP,$1499200,,,,,,Minimum Salary,$1499200
319,Rasual Butler,SAS,$1499187,,,,,,,$1499187
320,Matt Bonner,SAS,$1499187,,,,,,Minimum Salary,$1499187
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
321,Caron Butler,SAC,$1499187,$1551659,,,,,Minimum Salary,$1499187
322,Ronnie Price,PHO,$1499187,,,,,,Minimum Salary,$1499187
323,Andre Miller,MIN,$1499187,,,,,,,$1499187
324,Tayshaun Prince,MIN,$1499187,,,,,,Minimum Salary,$1499187
325,Amar'e Stoudemire,MIA,$1499187,,,,,,Minimum Salary,$1499187
326,Metta World Peace,LAL,$1499187,,,,,,Minimum Salary,$1499187
327,Jason Terry,HOU,$1499187,,,,,,Minimum Salary,$1499187
328,Mike Miller,DEN,$1499187,,,,,,Minimum Salary,$1499187
329,Samuel Dalembert,DAL,$1499187,,,,,,,$1499187
330,Charlie Villanueva,DAL,$1499187,,,,,,Minimum Salary,$1499187
331,David West,SAS,$1499000,$1552000,,,,,Minimum Salary,$1499000
332,Josh Smith,HOU,$1499000,,,,,,Minimum Salary,$1499000
333,Richard Jefferson,CLE,$1499000,,,,,,Minimum Salary,$1499000
334,James Jones,CLE,$1499000,,,,,,Minimum Salary,$1499000
335,Gorgui Dieng,MIN,$1474440,$2348783,,,,,1st Round Pick,$3823223
336,Mitch McGary,OKC,$1463040,$1526040,$2430981,,,,1st Round Pick,$2989080
337,Justin Anderson,DAL,$1449000,$1514160,$1579440,$2516048,,,1st Round pick,$2963160
338,Mason Plumlee,POR,$1415520,$2328530,,,,,1st Round Pick,$3744050
339,Jordan Adams,MEM,$1404600,$1465080,$2410057,,,,1st Round Pick,$2869680
340,Bobby Portis,CHI,$1391160,$1453680,$1516320,$2494346,,,1st Round pick,$2844840
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
341,Alonzo Gee,NOP,$1375000,$1375000,,,,,,$1375000
342,Andrea Bargnani,BRK,$1362900,$1551660,,,,,,$1362900
343,Solomon Hill,IND,$1358880,,,,,,1st Round Pick,$1358880
344,Sasha Vujacic,NYK,$1356146,,,,,,Minimum Salary,$1356146
345,Gerald Green,MIA,$1356000,,,,,,Minimum Salary,$1356000
346,Rodney Hood,UTA,$1348440,$1406520,$2386864,,,,1st Round Pick,$2754960
347,Rondae Hollis-Jefferson,BRK,$1335480,$1395600,$1455720,$2470357,,,1st Round pick,$2731080
348,Tim Hardaway,ATL,$1304520,$2281605,,,,,1st Round Pick,$3586125
349,Nikola Jokic,DEN,$1300000,$1350000,$1400000,$1450000,,,,$4050000
350,Sasha Kaun,CLE,$1300000,$1300000,,,,,,$2600000
351,Shabazz Napier,ORL,$1294440,$1350120,$2361360,,,,1st Round Pick,$2644560
352,Tyus Jones,MIN,$1282080,$1339680,$1397400,$2444053,,,1st Round pick,$2621760
353,Luc Mbah a Moute,LAC,$1270964,,,,,,Minimum Salary,$1270964
354,Brandon Rush,GSW,$1270964,,,,,,Minimum Salary,$1270964
355,Cartier Martin,DET,$1270964,,,,,,,$1270964
356,JaVale McGee,DAL,$1270964,$1403611,,,,,Bird Rights,$750000
357,Reggie Bullock,DET,$1252440,$2255644,,,,,1st Round Pick,$3508084
358,Clint Capela,HOU,$1242720,$1296240,$2334520,,,,1st Round Pick,$2538960
359,Jarell Martin,MEM,$1230840,$1286160,$1341600,$2516222,,,1st Round pick,$2517000
360,Andre Roberson,OKC,$1210800,$2183072,,,,,1st Round Pick,$3393872
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
361,P.J. Hairston,MEM,$1201440,,,,,,1st Round Pick,$1201440
362,Boban Marjanovic,SAS,$1200000,,,,,,Cap Space,$1200000
363,Jordan Mickey,BOS,$1200000,$1200000,$1200000,$1200000,,,,$2400000
364,Marcus Thornton,HOU,$1186000,,,,,,,$1186000
365,Tyler Hansbrough,CHO,$1185784,,,,,,Minimum Salary,$1185784
366,Rudy Gobert,UTA,$1175880,$2121288,,,,,1st Round Pick,$3297168
367,Toney Douglas,NOP,$1164858,$1315448,,,,,Minimum Salary,$1164858
368,Archie Goodwin,PHO,$1160160,$2094089,,,,,1st Round Pick,$3254249
369,C.J. Wilcox,LAC,$1159680,$1209680,$2183328,,,,1st Round Pick,$2369360
370,Larry Nance Jr.,LAL,$1155600,$1207680,$1259640,$2272391,,,1st Round pick,$2363280
371,Damjan Rudez,MIN,$1149500,$1199000,,,,,MLE,$1149500
372,R.J. Hunter,BOS,$1148640,$1200240,$1251960,$2259788,,,1st Round pick,$2348880
373,Matthew Dellavedova,CLE,$1147280,,,,,,,$1147280
374,Kyle Anderson,SAS,$1142879,$1192080,$2151704,,,,1st Round Pick,$2334959
375,Josh Huestis,OKC,$1140240,$1191480,$1242840,$2243326,,,,$2331720
376,Chris McCullough,BRK,$1140240,$1191480,$1242840,$2243326,,,1st Round pick,$2331720
377,Kevon Looney,GSW,$1131960,$1182840,$1233840,$2227081,,,1st Round pick,$2314800
378,Garrett Temple,WAS,$1100602,,,,,,Minimum Salary,$1100602
379,Ish Smith,PHI,$1100602,,,,,,,
380,Jeremy Evans,DAL,$1100602,$1227286,,,,,Early Bird Rights,$2327888
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
381,Wesley Johnson,LAC,$1100600,$1227300,,,,,Minimum Salary,$1100600
382,Cole Aldrich,LAC,$1100600,$1227290,,,,,Minimum Salary,$1100600
383,Chris Copeland,ORL,$1100000,,,,,,,$1100000
384,Luke Babbitt,NOP,$1100000,$1227000,,,,,Minimum Salary,$2327000
385,Richaun Holmes,PHI,$1050000,$1050000,$1050000,$1050000,,,Cap Space,$2100000
386,Jon Leuer,PHO,$1035000,,,,,,Early Bird Rights,$1035000
387,James Anderson,SAC,$1015421,$1139123,,,,,Minimum Salary,$1015421
388,Joey Dorsey,DEN,$1015421,,,,,,,$1015421
389,E'Twaun Moore,CHI,$1015421,,,,,,Minimum Salary,$1015421
390,Donald Sloan,BRK,$1015421,,,,,,Minimum Salary,$1015421
391,Raul Neto,UTA,$1000000,$1000000,$1000000,,,,,$2000000
392,Robert Covington,PHI,$1000000,$1015696,$1087745,,,,,$2015696
393,Joseph Young,IND,$1000000,$1050000,$1100000,$1150000,,,Cap Space,$2050000
394,Rakeem Christmas,IND,$1000000,$1100000,$1100000,$1100000,,,,$2100000
395,Montrezl Harrell,HOU,$1000000,$1000000,$1100000,,,,,$3100000
396,Walter Tavares,ATL,$1000000,$1000000,$1000000,,,,,$2000000
397,Chris Johnson,UTA,$981348,$1050961,,,,,Minimum Salary,$981348
398,Quincy Acy,SAC,$981348,$1050961,,,,,Minimum Salary,$981348
399,Jared Cunningham,ORL,$981348,,,,,,,$981348
400,Hassan Whiteside,MIA,$981348,,,,,,Minimum Salary,$981348
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
401,Robert Sacre,LAL,$981348,,,,,,Non Bird Rights,$981348
402,Pablo Prigioni,LAC,$981348,,,,,,Minimum Salary,$981348
403,Thomas Robinson,BRK,$981300,$1050960,,,,,Minimum Salary,$2032260
404,John Jenkins,PHO,$981000,$1051000,$1179000,,,,Minimum Salary,$981000
405,Justin Holiday,CHI,$947300,$1015700,,,,,Minimum Salary,$1963000
406,Dewayne Dedmon,ORL,$947278,,,,,,Minimum Salary,$947278
407,Grant Jerrett,UTA,$947276,,,,,,,$947276
408,Jeff Withey,UTA,$947276,$1015696,,,,,Minimum Salary,$947276
409,Anthony Bennett,TOR,$947276,,,,,,,$947276
410,Ray McCallum,SAS,$947276,,,,,,,$947276
411,Seth Curry,SAC,$947276,$1015696,,,,,Minimum Salary,$947276
412,Allen Crabbe,POR,$947276,,,,,,Cap Space,$947276
413,Isaiah Canaan,PHI,$947276,,,,,,Cap Space,$947276
414,Hollis Thompson,PHI,$947276,$1015696,,,,,Cap Space,$947276
415,Ian Clark,GSW,$947276,,,,,,Minimum Salary,$947276
416,Troy Daniels,CHO,$947276,,,,,,Minimum Salary,$947276
417,Willie Reed,BRK,$947276,,,,,,Minimum Salary,$947276
418,Mike Muscala,ATL,$947276,,,,,,Minimum Salary,$947276
419,Wayne Ellington,SAC,$923670,$923670,,,,,,$3347560
420,Elton Brand,PHI,$890693,,,,,,Minimum Salary,$890693
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
421,Damien Inglis,MIL,$855000,$980431,,,,,Cap Space,$855000
422,Eric Moreland,SAC,$845059,,,,,,Minimum Salary,$845059
423,Tim Frazier,POR,$845059,,,,,,,$845059
424,JaKarr Sampson,PHI,$845059,,,,,,,$1130548
425,Jerami Grant,PHI,$845059,$980431,$1051245,,,,Draft Pick,$845059
426,Joe Harris,ORL,$845059,,,,,,,$845059
427,Devyn Marble,ORL,$845059,$980431,,,,,Cap Space,$845059
428,Cleanthony Early,NYK,$845059,,,,,,Minimum Salary,$845059
429,Langston Galloway,NYK,$845059,,,,,,Minimum Salary,$845059
430,Jarnell Stokes,NOP,$845059,$980431,,,,,,$845059
431,Johnny O'Bryant,MIL,$845059,$980431,,,,,Cap Space,$845059
432,Tyler Johnson,MIA,$845059,,,,,,Minimum Salary,$845059
433,James Ennis,MEM,$845059,$980431,,,,,,$894768
434,Russ Smith,MEM,$816482,$816482,,,,,,$845059
435,JaMychal Green,MEM,$845059,$980431,,,,,Minimum Salary,$1825490
436,Jordan Clarkson,LAL,$845059,,,,,,Minimum Salary,$845059
437,Tarik Black,LAL,$845059,,,,,,Minimum Salary,$845059
438,Shayne Whittington,IND,$845059,$980431,,,,,Minimum Salary,$845059
439,James Michael McAdoo,GSW,$845059,,,,,,Minimum Salary,$845059
440,Spencer Dinwiddie,DET,$845059,$980431,,,,,Cap Space,$845059
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
441,Nick Johnson,DEN,$845059,$980431,,,,,,$1825490
442,Dwight Powell,DAL,$845059,,,,,,Minimum Salary,$845059
443,Cameron Bairstow,CHI,$845059,$980431,,,,,Cap Space,$845059
444,Markel Brown,BRK,$845059,,,,,,Minimum Salary,$845059
445,Glenn Robinson,IND,$845000,$980000,$1051000,,,,,$845000
446,Pierre Jackson,PHI,$750000,,,,,,,$750000
447,Anthony Brown,LAL,$700000,$850000,$1000000,,,,Cap Space,$1550000
448,Norman Powell,TOR,$650000,$874636,$1014746,,,,Cap Space,$1524636
449,Carlos Delfino,LAC,$650000,$650000,$650000,$650000,,,,$2600000
450,Toney Douglas,IND,$600000,,,,,,,$600000
451,Jarell Eddie,WAS,$561716,$980431,,,,,Minimum Salary,$561716
452,Maurice Ndour,DAL,$525094,$437318,,,,,,$962412
453,Jonathon Simmons,SAS,$525093,$874636,,,,,Minimum Salary,$525093
454,Duje Dukan,SAC,$525093,$874636,,,,,Minimum Salary,$525093
455,Pat Connaughton,POR,$525093,$874636,$1014746,,,,,$1399729
456,Luis Montero,POR,$525093,$874636,$1014746,,,,,$1399729
457,Cliff Alexander,POR,$525093,$874636,,,,,Minimum Salary,$525093
458,T.J. McConnell,PHI,$525093,$874636,,,,,Minimum Salary,$525093
459,Josh Richardson,MIA,$525093,$874636,$1014746,,,,Minimum Salary,$525093
460,Marcelo Huertas,LAL,$525093,,,,,,Minimum Salary,$525093
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
461,Branden Dawson,LAC,$525093,$874636,,,,,Minimum Salary,$525093
462,Darrun Hilliard,DET,$525093,$874060,$1014750,,,,Cap space,$1399153
463,Salah Mejri,DAL,$525093,$874636,$1014746,,,,Minimum Salary,$525093
464,Aaron Harrison,CHO,$525093,$874636,,,,,Minimum Salary,$525093
465,Lamar Patterson,ATL,$525093,$874636,,,,,Minimum Salary,$525093
466,Cristiano Felicio,CHI,$525090,$874636,,,,,Minimum Salary,$525090
467,Jimmer Fredette,SAS,$507711,,,,,,,$622254
468,Anderson Varejao,GSW,$458575,,,,,,Minimum Salary,$458575
469,Aaron Gray,DET,$452059,$452059,$452059,,,,,$1356177
470,Steve Novak,MIL,$416886,,,,,,Minimum Salary,$416886
471,Joe Johnson,MIA,$414481,,,,,,Minimum Salary,$414481
472,Andre Miller,SAS,$396844,,,,,,Minimum Salary,$396844
473,Kris Humphries,ATL,$388025,,,,,,Minimum Salary,$388025
474,Cory Jefferson,PHO,$370000,,,,,,,$421449
475,J.J. Hickson,WAS,$366337,,,,,,Minimum Salary,$366337
476,Elijah Millsap,UTA,$362878,,,,,,,$362878
477,Nazr Mohammed,OKC,$352750,,,,,,Minimum Salary,$352750
478,Kostas Papanikolaou,DEN,$350000,,,,,,,$350000
479,Ryan Hollins,MEM,$336716,,,,,,,$336716
480,Jason Thompson,TOR,$328955,,,,,,Minimum Salary,$328955
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
481,Kevin Martin,SAS,$317475,,,,,,Minimum Salary,$317475
482,Gal Mekel,DAL,$315760,$315760,$315760,,,,,$947280
483,Michael Beasley,HOU,$306527,$1403611,,,,,Minimum Salary,$306527
484,Miroslav Raduljica,LAC,$300000,$300000,$300000,$300000,,,,$1200000
485,JaKarr Sampson,DEN,$285489,$980431,,,,,Minimum Salary,$285489
486,Ty Lawson,IND,$265058,,,,,,Minimum Salary,$265058
487,Chase Budinger,PHO,$258082,,,,,,Minimum Salary,$258082
488,Marcus Thornton,WAS,$251107,,,,,,Minimum Salary,$251107
489,Bryce Cotton,PHO,$228663,,,,,,,$228663
490,Christian Wood,PHI,$222392,,,,,,,$305789
491,Andrew Goudelock,HOU,$200600,$1015696,,,,,Minimum Salary,$200600
492,Jorge Gutierrez,CHO,$190000,,,,,,Minimum Salary,$190000
493,Jeff Ayres,LAC,$187750,,,,,,Minimum Salary,$187750
494,Ryan Hollins,WAS,$176375,,,,,,,$176375
495,Phil Pressey,PHI,$172739,,,,,,,$172739
496,Bryce Dejean-Jones,NOP,$169883,$874636,$1014746,,,,MLE,$169883
497,Tony Wroten,NYK,$167406,$1050961,,,,,Minimum Salary,$167406
498,Ryan Hollins,MEM,$160340,,,,,,,$160340
499,Jordan McRae,CLE,$142084,$874636,,,,,Minimum Salary,$142084
500,Jeff Ayres,LAC,$129482,,,,,,,$317232
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
501,Greg Smith,MIN,$128161,,,,,,Minimum Salary,$128161
502,Greg Smith,MIN,$119462,,,,,,,$119462
503,Jordan Farmar,MEM,$111683,,,,,,Minimum Salary,$111683
504,Henry Sims,BRK,$111452,,,,,,,$111452
505,Phil Pressey,PHO,$111444,,,,,,,$111444
506,Lorenzo Brown,PHO,$111444,,,,,,,$111444
507,Ray McCallum,MEM,$111444,,,,,,,$111444
508,Lorenzo Brown,DET,$111444,,,,,,,$111444
509,Jorge Gutierrez,CHO,$111444,,,,,,,$111444
510,Jordan Sibert,ORL,$100000,,,,,,,$100000
511,Keith Appling,ORL,$100000,,,,,,,$100000
512,Jonathan Holmes,LAL,$100000,,,,,,,$100000
513,Erick Green,DEN,$100000,,,,,,,$100000
514,Erick Green,UTA,$99418,,,,,,10-Day Contract,$99418
515,Justin Harper,DET,$99418,,,,,,,$99418
516,Sean Kilpatrick,DEN,$99418,,,,,,,$198836
517,Sean Kilpatrick,BRK,$99418,,,,,,10-Day Contract,$99418
518,Ryan Hollins,MEM,$96000,,,,,,,$96000
519,Tim Frazier,NOP,$94448,,,,,,Minimum Salary,$94448
520,Chuck Hayes,HOU,$83583,,,,,,,$83583
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
521,Alan Williams,PHO,$83397,,,,,,Minimum Salary,$83397
522,Elliot Williams,CHO,$80000,,,,,,,$80000
523,Jordan Farmar,MEM,$79773,,,,,,,$79773
524,J.J. O'Brien,UTA,$75000,,,,,,,$75000
525,Treveon Graham,UTA,$75000,,,,,,,$75000
526,Ronald Roberts,TOR,$75000,,,,,,,$75000
527,Thanasis Antetokounmpo,NYK,$75000,,,,,,,$105888
528,Darion Atkins,NYK,$75000,,,,,,,$75000
529,Wesley Saunders,NYK,$75000,,,,,,,$75000
530,Ryan Boatright,BRK,$75000,,,,,,,$75000
531,Terran Petteway,ATL,$75000,,,,,,,$75000
532,Jordan McRae,PHO,$61776,,,,,,,$234748
533,Christian Wood,PHI,$61776,,,,,,,$61776
534,Keith Appling,ORL,$61776,,,,,,,$61776
535,Bryce Dejean-Jones,NOP,$61776,,,,,,,$61776
536,Xavier Munford,MEM,$61776,,,,,,,$61776
537,Alex Stepheson,LAC,$61776,,,,,,,$61776
538,Axel Toupane,DEN,$61776,,,,,,,$61776
539,Axel Toupane,DEN,$61776,$874636,,,,,Minimum Salary,$61776
540,Coty Clarke,BOS,$61776,,,,,,,$61776
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
541,Adonis Thomas,DET,$60000,,,,,,,$60000
542,Jimmer Fredette,NYK,$59731,,,,,,,$59731
543,Jordan Hamilton,NOP,$59731,,,,,,,$59731
544,Jordan Hamilton,NOP,$59731,,,,,,Minimum Salary,$59731
545,Jared Cunningham,MIL,$57726,,,,,,,$57726
546,Orlando Johnson,PHO,$55722,,,,,,,$55722
547,Orlando Johnson,NOP,$55722,,,,,,,$55722
548,Elliot Williams,MEM,$55722,,,,,,,$55722
549,Jimmer Fredette,NOP,$54812,,,,,,,$54812
550,Cory Jefferson,PHO,$51449,,,,,,,$51449
551,Henry Sims,BRK,$50170,,,,,,Minimum Salary,$50170
552,E.J. Singler,UTA,$50000,,,,,,,$50000
553,Travis Trice,NYK,$50000,,,,,,,$50000
554,Bryce Dejean-Jones,NOP,$50000,,,,,,,$281659
555,Michael Frazier,LAL,$50000,,,,,,,$50000
556,Brandon Ashley,DAL,$50000,,,,,,,$50000
557,Jamil Wilson,DAL,$50000,,,,,,,$50000
558,Quincy Miller,BRK,$50000,,,,,,,$50000
559,Tim Frazier,NOP,$49709,,,,,,,$49709
560,James Ennis,NOP,$49709,,,,,,10-Day Contract,$49709
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
561,Bryce Cotton,MEM,$49709,,,,,,10-Day Contract,$49709
562,Nate Robinson,NOP,$44000,,,,,,,
563,Marshall Henderson,SAC,$35000,,,,,,,$35000
564,Vince Hunter,SAC,$35000,,,,,,,$35000
565,Robert Upshaw,LAL,$35000,,,,,,,$35000
566,J.J. O'Brien,UTA,$30888,,,,,,,$30888
567,Alan Williams,PHO,$30888,,,,,,,$30888
568,Thanasis Antetokounmpo,NYK,$30888,,,,,,,$30888
569,Alex Stepheson,MEM,$30888,,,,,,,$30888
570,Briante Weber,MEM,$30888,,,,,,,$43243
571,Jordan McRae,CLE,$30888,,,,,,,$30888
572,Xavier Munford,MEM,$27812,$874636,,,,,Minimum Salary,$21621
573,Shannon Scott,TOR,$25000,,,,,,,$25000
574,Axel Toupane,TOR,$25000,,,,,,,$148552
575,Michale Kyser,TOR,$25000,,,,,,,$25000
576,Malcolm Miller,BOS,$25000,,,,,,,$25000
577,Levi Randolph,BOS,$25000,,,,,,,$25000
578,Corey Walden,BOS,$25000,,,,,,,$25000
579,Christian Wood,PHI,$21621,,,,,,Minimum Salary,$21621
580,Dorell Wright,MIA,$17637,,,,,,Minimum Salary,$17637
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
581,Briante Weber,MIA,$12355,$874636,$1014746,,,,Minimum Salary,$12355
582,Jarrid Famous,DAL,$10000,,,,,,,$10000
583,John Holland,BOS,$9266,$874636,,,,,Minimum Salary,$9266
584,Dahntay Jones,CLE,$8819,,,,,,Minimum Salary,$8819
585,Lorenzo Brown,DET,$5572,$1015696,,,,,Minimum Salary,$5572
