,,,Salary,Salary,Salary,Salary,Salary,Salary,,
59,Andrew Bogut,GSW,$12000000,$11027027,,,,,Bird Rights,$23027027
60,Kemba Walker,CHO,$12000000,$12000000,$12000000,$12000000,,,1st Round Pick,$48000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
61,Amir Johnson,BOS,$12000000,$12000000,,,,,Cap Space,$12000000
62,Al Horford,ATL,$12000000,,,,,,Bird Rights,$12000000
63,Derrick Favors,UTA,$11933333,$10983333,$11933333,,,,1st Round Pick,$34300000
64,Andre Iguodala,GSW,$11710456,$11131368,,,,,Bird Rights,$22841824
65,Stephen Curry,GSW,$11370786,$12112359,,,,,Bird Rights,$23483145
66,Nikola Vucevic,ORL,$11250000,$11750000,$12250000,$12750000,,,Bird Rights,$48000000
67,Kenneth Faried,DEN,$11235955,$12078652,$12921348,$13764045,,,1st Round Pick,$50000000
68,Tyreke Evans,NOP,$11227000,$11690500,,,,,Bird Rights,$22917500
69,Marcin Gortat,WAS,$11217391,$12000000,$12782609,$13565218,,,Bird Rights,$49565218
70,Thaddeus Young,BRK,$11200000,$12100000,$12900000,$13800000,,,Bird Rights,$36200000
71,Omer Asik,NOP,$11000000,$11000000,$11000000,$11000000,$14000000,,Bird Rights,$44000000
72,Jrue Holiday,NOP,$10595507,$11286518,,,,,Bird Rights,$21882025
73,Wilson Chandler,DEN,$10500000,$11200000,$12000000,$12800000,,,,$46500000
74,Monta Ellis,IND,$10300000,$10770000,$11230000,$11700000,,,Cap Space,$32300000
75,Luol Deng,MIA,$10151612,,,,,,Cap Space,$10151612
76,Gerald Wallace,PHI,$10105855,,,,,,,$10105855
77,Danny Green,SAS,$10000000,$10000000,$10000000,$10000000,,,Bird Rights,$30000000
78,Zach Randolph,MEM,$9638555,$10361445,,,,,Bird Rights,$20000000
79,Anderson Varejao,POR,$9638554,$10361446,$10000000,,,,,$19000000
80,Mike Conley,MEM,$9588426,,,,,,Cap Space,$9388426
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
81,DeMar DeRozan,TOR,$9500000,$9500000,,,,,Bird Rights,$9500000
82,Rajon Rondo,SAC,$9500000,,,,,,,$9500000
83,Alec Burks,UTA,$9213484,$9904495,$10595506,$11286515,,,1st Round Pick,$41000000
84,Jeff Green,LAC,$9200000,,,,,,Bird Rights,$9200000
85,Lance Stephenson,MEM,$9000000,$9400000,,,,,Cap Space,$9000000
86,Iman Shumpert,CLE,$9000000,$9700000,$10300000,$11000000,,,Bird Rights,$40000000
87,Ryan Anderson,NOP,$8500000,,,,,,Bird Rights,$8500000
88,Kevin Garnett,MIN,$8500000,$8000000,,,,,Bird Rights,$16500000
89,Taj Gibson,CHI,$8500000,$8950000,,,,,Bird Rights,$17450000
90,Tiago Splitter,ATL,$8500000,$8250000,,,,,Bird Rights,$16750000
91,Brandon Jennings,ORL,$8344497,,,,,,Bird Rights,$8344497
92,Dirk Nowitzki,DAL,$8333334,$8692184,,,,,Cap Space,$8333334
93,Corey Brewer,HOU,$8200000,$7600000,$7600000,,,,Cap Space,$23400000
94,Trevor Ariza,HOU,$8193030,$7806971,$7420912,,,,Bird Rights,$23420913
95,Markieff Morris,WAS,$8000000,$8000000,$8000000,$8000000,,,Bird Rights,$32000000
96,Arron Afflalo,NYK,$8000000,$8000000,,,,,Cap Space,$8000000
97,O.J. Mayo,MIL,$8000000,,,,,,Cap Space,$8000000
98,George Hill,IND,$8000000,$8000000,,,,,Bird Rights,$16000000
99,Jeff Teague,ATL,$8000000,$8000000,,,,,Bird Rights,$16000000
100,Ersan Ilyasova,ORL,$7900000,$8400000,,,,,Bird Rights,$8300000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
101,Channing Frye,CLE,$7807579,$7456238,,,,,Cap Space,$15263817
102,Avery Bradley,BOS,$7730337,$8269663,$8808989,,,,Bird Rights,$24808989
103,Kosta Koufos,SAC,$7500000,$8000000,$8500000,$9000000,,,Cap Space,$24000000
104,Al-Farouq Aminu,POR,$7500000,$7500000,$7500000,$7500000,,,Cap Space,$30000000
105,Pau Gasol,CHI,$7448760,$7769520,,,,,Cap Space,$7448760
106,Jose Calderon,NYK,$7402812,$7708427,,,,,Cap Space,$15111239
107,Kevin Martin,MIN,$7085000,,,,,,,$7085000
108,Anthony Davis,NOP,$7070730,$21000000,$22500000,$24000000,$25000000,,1st Round Pick,$126570730
109,Cory Joseph,TOR,$7000000,$7330000,$7660000,$8000000,,,Cap Space,$21990000
110,Boris Diaw,SAS,$7000000,$6500000,$7000000,,,,Bird Rights,$10000000
111,Ed Davis,POR,$7000000,$7000000,$7000000,,,,Cap Space,$21000000
112,Lou Williams,LAL,$7000000,$7000000,$7000000,,,,Cap Space,$21000000
113,Marvin Williams,CHO,$7000000,,,,,,,$7000000
114,Isaiah Thomas,BOS,$6912869,$6587132,$6261395,,,,,$19761396
115,J.J. Redick,LAC,$6867000,$7150500,,,,,Bird Rights,$14017500
116,Greivis Vasquez,MIL,$6600000,,,,,,Bird Rights,$6600000
117,Carl Landry,PHI,$6500000,$6500000,,,,,Cap Space,$13000000
118,Rodney Stuckey,IND,$6500000,$7000000,$7500000,,,,Cap Space,$13500000
119,Patrick Beverley,HOU,$6500000,$6000000,$5500000,$5000000,,,Bird Rights,$18000000
120,Aron Baynes,DET,$6500000,$6500000,$6500000,,,,Cap Space,$13000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
121,Jason Thompson,GSW,$6431250,$6825000,,,,,,$9410205
122,Marco Belinelli,SAC,$6333333,$6333333,$6333333,,,,Cap Space,$18999999
123,Michael Kidd-Gilchrist,CHO,$6331404,$13000000,$13000000,$13000000,$13000000,,1st Round Pick,$45331404
124,Jarrett Jack,BRK,$6300000,$6300000,,,,,Cap Space,$6800000
125,Jodie Meeks,DET,$6270000,$6540000,,,,,Cap Space,$12810000
126,Patrick Patterson,TOR,$6268675,$6050000,,,,,Bird Rights,$12318675
127,Gerald Henderson,POR,$6000000,,,,,,Bird Rights,$6000000
128,Jae Crowder,BOS,$6000000,$6500000,$7000000,$7500000,$8000000,,Bird Rights,$35000000
129,Andrew Wiggins,MIN,$5758680,$6006600,$7574322,,,,1st Round Pick,$11765280
130,Kyle Korver,ATL,$5746479,$5239437,,,,,Bird Rights,$10985916
131,Karl-Anthony Towns,MIN,$5703600,$5960160,$6216840,$7839435,,,1st round pick,$11663760
132,Bradley Beal,WAS,$5694674,,,,,,1st Round Pick,$5694674
133,Jamal Crawford,LAC,$5675000,,,,,,MLE,$5675000
134,Courtney Lee,CHO,$5675000,,,,,,Bird Rights,$5675000
135,Martell Webster,WAS,$5613500,$830000,$830000,$830000,,,,$8103500
136,J.J. Hickson,DEN,$5613500,,,,,,,$5613500
137,Josh McRoberts,MIA,$5543725,$5782450,$6021175,,,,MLE,$11326175
138,Shaun Livingston,GSW,$5543725,$5782450,,,,,MLE,$8543725
139,Spencer Hawes,CHO,$5543725,$5782450,$6021175,,,,MLE,$11326175
140,Nikola Mirotic,CHI,$5543725,$5782450,,,,,Cap Space,$11326175
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
141,P.J. Tucker,PHO,$5500000,$5300000,,,,,Cap Space,$7000000
142,Mirza Teletovic,PHO,$5500000,,,,,,Cap Space,$5500000
143,Brandan Wright,MEM,$5500000,$5700000,$6000000,,,,MLE,$17200000
144,Deron Williams,DAL,$5500000,$5500000,,,,,Cap Space,$5500000
145,Deron Williams,BRK,$5500000,$5500000,$5500000,$5500000,$5500000,,,$27500000
146,Josh Smith,DET,$5400000,$5400000,$5400000,$5400000,$5400000,,,$27000000
147,Nick Young,LAL,$5219169,$5443918,$5668667,,,,Cap Space,$16331754
148,Zaza Pachulia,DAL,$5200000,,,,,,Cap Space,$5200000
149,Victor Oladipo,ORL,$5192520,$6552960,,,,,1st Round Pick,$11745480
150,Tony Allen,MEM,$5168539,$5505618,,,,,Bird Rights,$10674157
151,Jabari Parker,MIL,$5152440,$5374320,$6782392,,,,1st Round Pick,$10526760
152,Dion Waiters,OKC,$5138430,,,,,,1st Round Pick,$5138430
153,D'Angelo Russell,LAL,$5103120,$5332800,$5562360,$7019698,,,1st round pick,$10435920
154,Darren Collison,SAC,$5013559,$5229454,,,,,MLE,$10243013
155,Tim Duncan,SAS,$5000000,$5500000,,,,,Bird Rights,$5000000
156,Chris Kaman,POR,$5000000,,,,,,MLE,$5000000
157,C.J. Watson,ORL,$5000000,$5000000,$5000000,,,,Cap Space,$11000000
158,Kyle Singler,OKC,$5000000,$5000000,$5000000,$5000000,$5000000,,Bird Rights,$20000000
159,Chris Andersen,MEM,$5000000,,,,,,Cap Space,$5000000
160,Chase Budinger,IND,$5000000,,,,,,,$5000000
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
161,Marcus Morris,DET,$5000000,$5000000,$5000000,$5000000,,,Bird Rights,$20000000
162,J.R. Smith,CLE,$5000000,$5000000,,,,,Minimum Salary,$5000000
163,Jonas Jerebko,BOS,$5000000,$5000000,,,,,Bird Rights,$5000000
164,Timofey Mozgov,CLE,$4950000,,,,,,Bird Rights,$4950000
165,Derrick Williams,NYK,$4900000,$5100000,,,,,Cap Space,$4900000
166,Trevor Booker,UTA,$4775000,,,,,,Cap Space,$4775000
167,Otto Porter,WAS,$4662960,$5893981,,,,,1st Round Pick,$10556941
168,Jonas Valanciunas,TOR,$4660482,$14382022,$15460675,$16539326,$17617977,,1st Round Pick,$51042505
169,Joel Embiid,PHI,$4626960,$4826160,$6100266,,,,1st Round Pick,$9453120
170,Kris Humphries,PHO,$4600000,$4600000,,,,,,$4988025
171,Jahlil Okafor,PHI,$4582680,$4788840,$4995120,$6313832,,,1st round pick,$9371520
172,Jameer Nelson,DEN,$4500000,$4500000,$4500000,,,,Cap Space,$13500000
173,Mike Dunleavy,CHI,$4500000,$4800000,$5100000,,,,Early Bird Rights,$14400000
174,C.J. Miles,IND,$4394225,$4583450,$4772675,,,,MLE,$8977675
175,Jason Smith,ORL,$4300000,,,,,,Cap Space,$4300000
176,Alexis Ajinca,NOP,$4300000,$4600000,$4900000,$5300000,,,Early Bird Rights,$19100000
177,Mario Chalmers,MEM,$4300000,,,,,,,$4300000
178,Jared Dudley,WAS,$4250000,,,,,,Bird Rights,$4250000
179,Damian Lillard,POR,$4236287,$21000000,$22500000,$24000000,$25500000,,1st Round Pick,$124236287
180,Cody Zeller,CHO,$4204200,$5318313,,,,,1st Round Pick,$9522513
,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,Signed Using,Guaranteed
181,Aaron Gordon,ORL,$4171680,$4351320,$5504420,,,,1st Round Pick,$8523000
182,Kristaps Porzingis,NYK,$4131720,$4317720,$4503600,$5697054,,,1st round pick,$8449440
183,Vince Carter,MEM,$4088091,$4264057,,,,,,$6088091
184,Devin Harris,DAL,$4053000,$4228000,$4403000,,,,Cap Space,$12684000
185,Alan Anderson,WAS,$4000000,,,,,,MLE,$4000000
186,Nemanja Bjelica,MIN,$4000000,$4000000,$4000000,,,,MLE,$12000000
187,Jordan Hill,IND,$4000000,,,,,,Cap Space,$4000000
