{\rtf1\ansi\ansicpg1252\cocoartf1404\cocoasubrtf130
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS\
27,,2015-12-16,39-235,SAS,,WAS,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
28,25,2015-12-18,39-237,SAS,,LAC,W (+8),1,29:25,5,8,.625,0,0,,4,6,.667,3,2,5,4,1,0,2,2,14,13.3,+5,27.3\
29,26,2015-12-21,39-240,SAS,,IND,W (+14),1,22:52,3,6,.500,0,0,,1,1,1.000,1,4,5,3,2,2,1,3,7,9.2,+1,25.3\
30,27,2015-12-23,39-242,SAS,@,MIN,W (+25),1,24:12,1,6,.167,0,0,,0,0,,2,3,5,5,1,4,2,2,2,5.0,+17,24.8\
31,28,2015-12-25,39-244,SAS,@,HOU,L (-4),1,32:02,5,10,.500,0,0,,3,4,.750,2,9,11,3,0,0,3,4,13,9.2,+2,31.3\
32,,2015-12-26,39-245,SAS,,DEN,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
33,,2015-12-28,39-247,SAS,,MIN,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
34,,2015-12-30,39-249,SAS,,PHO,W (+33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
35,29,2016-01-02,39-252,SAS,,HOU,W (+18),1,13:45,0,3,.000,0,0,,0,0,,0,4,4,2,0,0,1,1,0,-0.9,-1,7.5\
36,30,2016-01-04,39-254,SAS,@,MIL,W (+25),1,27:19,7,11,.636,0,0,,0,1,.000,2,8,10,4,2,1,1,5,14,15.0,+12,39.5\
