Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
51,51,1970-01-24,22-283,MIL,,CIN,W (+16),,,9,,,,,,10,15,.667,,,,,,,,,28,\
52,52,1970-01-25,22-284,MIL,@,ATL,W (+15),,,12,,,,,,7,13,.538,,,,,,,,,31,\
53,53,1970-01-26,22-285,MIL,,PHI,L (-19),,,15,,,,,,4,7,.571,,,,,,,,,34,\
54,54,1970-01-28,22-287,MIL,@,CIN,W (+12),,,10,,,,,,13,16,.813,,,,,,,,,33,\
55,55,1970-01-30,22-289,MIL,@,CHI,W (+16),,,10,,,,,,7,10,.700,,,,,,,,,27,\
56,56,1970-01-31,22-290,MIL,@,PHO,W (+1),,,9,,,,,,6,14,.429,,,,,,,,,24,\
57,57,1970-02-01,22-291,MIL,@,SEA,L (-2),,,10,,,,,,5,14,.357,,,,,,,,,25,\
58,58,1970-02-04,22-294,MIL,@,SDR,W (+18),,,8,,,,,,2,2,1.000,,,,,,,,6,18,\
59,59,1970-02-06,22-296,MIL,@,LAL,W (+13),,,13,,,,,,3,9,.333,,,,,,,,,29,\
60,60,1970-02-08,22-298,MIL,@,BAL,L (-14),,,16,,,,,,4,6,.667,,,,,,,,,36,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1970-02-10,22-300,MIL,@,PHI,W (+8),,,13,,,,,,10,12,.833,,,,,,,,,36,\
62,62,1970-02-11,22-301,MIL,,PHO,W (+7),,,13,,,,,,6,8,.750,,,,,,,,,32,\
63,63,1970-02-14,22-304,MIL,,BOS,W (+10),,,14,,,,,,13,20,.650,,,,,,,,,41,\
64,64,1970-02-15,22-305,MIL,,LAL,L (-2),,,9,,,,,,2,7,.286,,,,,,,,,20,\
65,65,1970-02-18,22-308,MIL,@,SFW,W (+7),,,9,,,,,,8,9,.889,,,,,,,,,26,\
66,66,1970-02-20,22-310,MIL,@,LAL,L (-5),,,15,,,,,,1,4,.250,,,,,,,,,31,\
67,67,1970-02-21,22-311,MIL,,SEA,W (+13),,,18,,,,,,15,23,.652,,,,,,,,,51,\
68,68,1970-02-22,22-312,MIL,@,PHO,W (+20),,,14,,,,,,6,10,.600,,,,,,,,,34,\
69,69,1970-02-24,22-314,MIL,@,DET,L (-25),,,21,,,,,,4,4,1.000,,,,,,,,,46,\
70,70,1970-02-25,22-315,MIL,,BAL,W (+2),,,10,,,,,,7,9,.778,,,,,,,,,27,\
71,71,1970-02-27,22-317,MIL,,DET,W (+18),,,15,,,,,,3,6,.500,,,,,,,,,33,\
72,72,1970-03-01,22-319,MIL,,CIN,W (+6),,,11,,,,,,10,13,.769,,,,,,,,,32,\
73,73,1970-03-03,22-321,MIL,,PHI,W (+11),,,13,,,,,,5,7,.714,,,,,,,,,31,\
74,74,1970-03-05,22-323,MIL,,ATL,L (-9),,,18,,,,,,3,4,.750,,,,,,,,,39,\
75,75,1970-03-06,22-324,MIL,@,DET,W (+3),,,17,,,,,,4,7,.571,,,,,,,,,38,\
76,76,1970-03-08,22-326,MIL,@,BOS,W (+4),,,12,,,,,,20,25,.800,,,,,,,,,44,\
77,77,1970-03-09,22-327,MIL,,SEA,W (+19),,,12,,,,,,1,2,.500,,,,,,,,,25,\
78,78,1970-03-10,22-328,MIL,@,ATL,L (-13),,,16,,,,,,8,12,.667,,,,,,,,,40,\
79,79,1970-03-15,22-333,MIL,,CHI,L (-23),,,11,,,,,,8,10,.800,,,,,,,,,30,\
80,80,1970-03-18,22-336,MIL,@,NYK,W (+8),,,10,,,,,,6,9,.667,,,,,,,,,26,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
81,81,1970-03-20,22-338,MIL,@,PHI,W (+26),,,16,,,,,,9,9,1.000,,,,,,,,,41,\
82,82,1970-03-22,22-340,MIL,@,CHI,L (-14),,,9,,,,,,9,17,.529,,,,,,,,,27,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1970-10-17,23-184,MIL,@,ATL,W (+9),,,13,,,,,,6,8,.750,,,,,,,,,32,\
2,2,1970-10-20,23-187,MIL,@,DET,L (-1),,,16,,,,,,6,10,.600,,,,,,,,,38,\
3,3,1970-10-24,23-191,MIL,,BAL,W (+2),,,14,,,,,,11,16,.688,,,,,,,,,39,\
4,4,1970-10-25,23-192,MIL,,SEA,W (+19),,,17,,,,,,3,4,.750,,,,,,,,,37,\
5,5,1970-10-27,23-194,MIL,,SDR,W (+13),,,7,,,,,,6,9,.667,,,,,,,,6,20,\
6,6,1970-10-31,23-198,MIL,@,CIN,W (+21),,,10,,,,,,8,11,.727,,,,,,,,,28,\
7,7,1970-11-04,23-202,MIL,@,CLE,W (+2),,,20,,,,,,13,14,.929,,,,,,,,,53,\
8,8,1970-11-08,23-206,MIL,,PHO,W (+20),,,8,,,,,,10,14,.714,,,,,,,,,26,\
9,9,1970-11-11,23-209,MIL,@,BOS,W (+10),,,17,,,,,,10,12,.833,,,,,,,,,44,\
10,10,1970-11-14,23-212,MIL,@,BUF,W (+9),,,13,,,,,,1,7,.143,,,,,,,,,27,\
