Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
50,50,1972-01-25,24-284,MIL,,SEA,W (+32),,,11,,,,,,4,5,.800,,,,,,,,,26,\
51,51,1972-01-26,24-285,MIL,@,DET,W (+26),,,11,,,,,,12,15,.800,,,,,,,,,34,\
52,52,1972-01-28,24-287,MIL,@,PHI,W (+9),,,12,,,,,,10,13,.769,,,,,,,,,34,\
53,53,1972-01-30,24-289,MIL,,BAL,W (+4),,,16,,,,,,7,11,.636,,,,,,,,,39,\
54,54,1972-02-01,24-291,MIL,,GSW,W (+11),,,10,,,,,,1,2,.500,,,,,,,,,21,\
55,55,1972-02-02,24-292,MIL,@,PHO,W (+3),,,18,,,,,,9,12,.750,,,,,,,,,45,\
56,56,1972-02-04,24-294,MIL,@,LAL,L (-13),,,16,,,,,,8,9,.889,,,,,,,,,40,\
57,57,1972-02-05,24-295,MIL,@,HOU,W (+7),,,17,,,,,,7,8,.875,,,,,,,,,41,\
58,58,1972-02-08,24-298,MIL,@,BUF,W (+18),,,14,,,,,,3,4,.750,,,,,,,,,31,\
59,59,1972-02-09,24-299,MIL,@,CLE,W (+5),,,23,,,,,,7,9,.778,,,,,,,,,53,\
60,60,1972-02-11,24-301,MIL,,NYK,L (-6),,,16,,,,,,5,8,.625,,,,,,,,,37,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1972-02-12,24-302,MIL,,GSW,W (+23),,,13,,,,,,8,11,.727,,,,,,,,,34,\
62,62,1972-02-13,24-303,MIL,@,BOS,W (+8),,,21,,,,,,9,14,.643,,,,,,,,,51,\
63,63,1972-02-17,24-307,MIL,@,CIN,W (+14),,,13,,,,,,8,12,.667,,,,,,,,,34,\
64,64,1972-02-18,24-308,MIL,,PHI,L (-6),,,18,,,,,,17,22,.773,,,,,,,,,53,\
65,65,1972-02-19,24-309,MIL,@,CHI,L (-7),,,12,,,,,,7,10,.700,,,,,,,,,31,\
66,66,1972-02-20,24-310,MIL,,CHI,W (+3),,,16,,,,,,12,15,.800,,,,,,,,,44,\
67,67,1972-02-23,24-313,MIL,@,BAL,W (+8),,,16,,,,,,3,4,.750,,,,,,,,,35,\
68,68,1972-02-26,24-316,MIL,,PHO,W (+2),,,18,,,,,,8,12,.667,,,,,,,,,44,\
69,69,1972-02-29,24-319,MIL,,DET,W (+18),,,15,,,,,,4,4,1.000,,,,,,,,,34,\
70,70,1972-03-01,24-320,MIL,,LAL,L (-1),,,13,,,,,,7,7,1.000,,,,,,,,,33,\
71,71,1972-03-03,24-322,MIL,@,PHI,W (+13),,,13,,,,,,1,1,1.000,,,,,,,,,27,\
72,72,1972-03-06,24-325,MIL,,BOS,W (+5),,,19,,,,,,7,12,.583,,,,,,,,,45,\
73,73,1972-03-07,24-326,MIL,@,NYK,L (-9),,,17,,,,,,1,3,.333,,,,,,,,,35,\
74,74,1972-03-12,24-331,MIL,@,SEA,W (+10),,,13,,,,,,4,5,.800,,,,,,,,,30,\
75,75,1972-03-14,24-333,MIL,@,POR,W (+11),,,17,,,,,,2,3,.667,,,,,,,,,36,\
76,76,1972-03-15,24-334,MIL,@,PHO,L (-4),,,13,,,,,,10,12,.833,,,,,,,,,36,\
77,77,1972-03-17,24-336,MIL,@,LAL,L (-16),,,22,,,,,,6,8,.750,,,,,,,,,50,\
78,78,1972-03-18,24-337,MIL,@,HOU,W (+4),,,17,,,,,,8,12,.667,,,,,,,,,42,\
79,79,1972-03-21,24-340,MIL,,HOU,W (+17),,,16,,,,,,5,6,.833,,,,,,,,,37,\
80,80,1972-03-24,24-343,MIL,,NYK,W (+43),,,9,,,,,,2,5,.400,,,,,,,,,20,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
81,81,1972-03-25,24-344,MIL,,CIN,W (+24),,,17,,,,,,5,6,.833,,,,,,,,,39,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1972-10-13,25-180,MIL,@,PHO,W (+12),,,17,,,,,,7,13,.538,,,,,,,,,41,\
2,2,1972-10-14,25-181,MIL,@,GSW,W (+4),,,12,,,,,,3,4,.750,,,,,,,,,27,\
3,3,1972-10-17,25-184,MIL,@,POR,L (-3),,,20,,,,,,9,12,.750,,,,,,,,,49,\
4,4,1972-10-25,25-192,MIL,,BUF,W (+17),,,10,,,,,,5,7,.714,,,,,,,,,25,\
5,5,1972-10-26,25-193,MIL,@,KCO,W (+7),,,9,,,,,,3,4,.750,,,,,,,,,21,\
6,6,1972-10-28,25-195,MIL,@,PHI,W (+4),,,11,,,,,,1,2,.500,,,,,,,,,23,\
7,7,1972-11-04,25-202,MIL,,PHO,L (-1),,,9,,,,,,4,8,.500,,,,,,,,,22,\
8,8,1972-11-05,25-203,MIL,,PHI,W (+18),,,11,,,,,,0,0,,,,,,,,,,22,\
9,9,1972-11-08,25-206,MIL,,SEA,W (+13),,,11,,,,,,7,7,1.000,,,,,,,,,29,\
10,10,1972-11-10,25-208,MIL,,BAL,W (+38),,,8,,,,,,3,4,.750,,,,,,,,,19,\
11,11,1972-11-11,25-209,MIL,@,ATL,L (-9),,,16,,,,,,3,4,.750,,,,,,,,,35,\
12,12,1972-11-14,25-212,MIL,,LAL,L (-3),,,17,,,,,,3,4,.750,,,,,,,,,37,\
13,13,1972-11-17,25-215,MIL,@,BOS,W (+7),,,13,,,,,,6,9,.667,,,,,,,,,32,\
14,14,1972-11-18,25-216,MIL,@,NYK,L (-1),,,14,,,,,,4,4,1.000,,,,,,,,,32,\
15,15,1972-11-21,25-219,MIL,,BOS,L (-14),,,15,,,,,,3,7,.429,,,,,,,,,33,\
16,16,1972-11-24,25-222,MIL,,KCO,W (+9),,,9,,,,,,8,10,.800,,,,,,,,,26,\
17,17,1972-11-25,25-223,MIL,@,BAL,W (+10),,,12,,,,,,4,6,.667,,,,,,,,,28,\
18,18,1972-11-26,25-224,MIL,,ATL,W (+12),,,10,,,,,,6,9,.667,,,,,,,,,26,\
19,19,1972-11-29,25-227,MIL,,CHI,W (+8),,,10,,,,,,7,9,.778,,,,,,,,,27,\
20,20,1972-12-01,25-229,MIL,,NYK,W (+26),,,18,,,,,,4,7,.571,,,,,,,,,40,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1972-12-03,25-231,MIL,@,PHO,W (+18),,,13,,,,,,7,7,1.000,,,,,,,,,33,\
22,22,1972-12-05,25-233,MIL,@,LAL,L (-22),,,11,,,,,,7,7,1.000,,,,,,,,,29,\
23,23,1972-12-06,25-234,MIL,@,SEA,L (-4),,,18,,,,,,2,4,.500,,,,,,,,,38,\
24,24,1972-12-08,25-236,MIL,,GSW,W (+33),,,6,,,,,,7,8,.875,,,,,,,,,19,\
25,25,1972-12-09,25-237,MIL,,DET,L (-4),,,14,,,,,,3,3,1.000,,,,,,,,,31,\
26,26,1972-12-12,25-240,MIL,@,POR,W (+21),,,15,,,,,,5,7,.714,,,,,,,,,35,\
27,27,1972-12-13,25-241,MIL,@,SEA,W (+1),,,8,,,,,,2,5,.400,,,,,,,,,18,\
28,28,1972-12-15,25-243,MIL,,CLE,W (+16),,,6,,,,,,2,2,1.000,,,,,,,,,14,\
29,29,1972-12-19,25-247,MIL,,SEA,W (+44),,,14,,,,,,5,10,.500,,,,,,,,,33,\
30,30,1972-12-20,25-248,MIL,,POR,W (+19),,,21,,,,,,2,2,1.000,,,,,,,,,44,\
31,31,1972-12-23,25-251,MIL,,BOS,W (+6),,,13,,,,,,0,2,.000,,,,,,,,,26,\
32,32,1972-12-25,25-253,MIL,@,KCO,W (+5),,,14,,,,,,4,4,1.000,,,,,,,,,32,\
33,33,1972-12-26,25-254,MIL,@,DET,L (-7),,,21,,,,,,1,3,.333,,,,,,,,,43,\
34,34,1972-12-28,25-256,MIL,,DET,W (+24),,,19,,,,,,6,9,.667,,,,,,,,,44,\
35,35,1972-12-29,25-257,MIL,@,HOU,W (+13),,,19,,,,,,1,4,.250,,,,,,,,,39,\
36,36,1972-12-30,25-258,MIL,@,CHI,L (-7),,,8,,,,,,8,11,.727,,,,,,,,,24,\
37,37,1973-01-01,25-260,MIL,,BAL,L (-1),,,13,,,,,,1,4,.250,,,,,,,,,27,\
38,38,1973-01-02,25-261,MIL,@,NYK,L (-10),,,16,,,,,,6,8,.750,,,,,,,,,38,\
39,39,1973-01-03,25-262,MIL,,ATL,W (+8),,,11,,,,,,4,6,.667,,,,,,,,,26,\
40,40,1973-01-06,25-265,MIL,,BUF,W (+14),,,17,,,,,,3,5,.600,,,,,,,,,37,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1973-01-07,25-266,MIL,,LAL,W (+7),,,17,,,,,,3,4,.750,,,,,,,,,37,\
42,42,1973-01-12,25-271,MIL,,KCO,W (+19),,,15,,,,,,8,10,.800,,,,,,,,,38,\
43,43,1973-01-14,25-273,MIL,,CHI,W (+5),,,15,,,,,,5,11,.455,,,,,,,,,35,\
44,44,1973-01-16,25-275,MIL,,PHI,W (+16),,,11,,,,,,6,9,.667,,,,,,,,,28,\
45,45,1973-01-21,25-280,MIL,,GSW,W (+16),,,8,,,,,,11,13,.846,,,,,,,,,27,\
46,46,1973-01-25,25-284,MIL,,HOU,L (-4),,,24,,,,,,0,0,,,,,,,,,,48,\
47,47,1973-01-26,25-285,MIL,@,DET,W (+12),,,14,,,,,,7,7,1.000,,,,,,,,,35,\
48,48,1973-01-30,25-289,MIL,@,CLE,L (-14),,,11,,,,,,6,7,.857,,,,,,,,,28,\
49,49,1973-02-02,25-292,MIL,@,BUF,W (+6),,,16,,,,,,6,9,.667,,,,,,,,,38,\
50,50,1973-02-04,25-294,MIL,@,CHI,L (-22),,,7,,,,,,10,13,.769,,,,,,,,,24,\
51,51,1973-02-06,25-296,MIL,,PHO,W (+15),,,17,,,,,,1,6,.167,,,,,,,,,35,\
52,52,1973-02-07,25-297,MIL,@,KCO,L (-7),,,11,,,,,,5,7,.714,,,,,,,,,27,\
53,53,1973-02-09,25-299,MIL,,LAL,W (+21),,,14,,,,,,1,2,.500,,,,,,,,,29,\
54,54,1973-02-10,25-300,MIL,,GSW,W (+27),,,13,,,,,,2,2,1.000,,,,,,,,,28,\
55,55,1973-02-11,25-301,MIL,@,BOS,L (-24),,,12,,,,,,1,1,1.000,,,,,,,,,25,\
56,56,1973-02-13,25-303,MIL,@,DET,W (+14),,,13,,,,,,2,2,1.000,,,,,,,,,28,\
57,57,1973-02-14,25-304,MIL,@,PHI,L (-2),,,9,,,,,,11,12,.917,,,,,,,,,29,\
58,58,1973-02-18,25-308,MIL,,BAL,L (-3),,,8,,,,,,2,2,1.000,,,,,,,,,18,\
59,59,1973-02-20,25-310,MIL,,CLE,W (+18),,,12,,,,,,4,5,.800,,,,,,,,,28,\
60,60,1973-02-22,25-312,MIL,@,KCO,W (+3),,,11,,,,,,5,8,.625,,,,,,,,,27,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1973-02-24,25-314,MIL,@,GSW,L (-9),,,12,,,,,,3,4,.750,,,,,,,,,27,\
62,62,1973-02-25,25-315,MIL,@,LAL,L (-9),,,10,,,,,,1,2,.500,,,,,,,,,21,\
63,63,1973-02-28,25-318,MIL,,SEA,W (+14),,,12,,,,,,2,2,1.000,,,,,,,,,26,\
64,64,1973-03-01,25-319,MIL,,NYK,W (+14),,,16,,,,,,4,4,1.000,,,,,,,,,36,\
65,65,1973-03-04,25-322,MIL,@,HOU,W (+15),,,10,,,,,,9,13,.692,,,,,,,,,29,\
66,66,1973-03-06,25-324,MIL,,CHI,W (+8),,,15,,,,,,1,2,.500,,,,,,,,,31,\
67,67,1973-03-09,25-327,MIL,,POR,W (+20),,,10,,,,,,5,7,.714,,,,,,,,,25,\
68,68,1973-03-12,25-330,MIL,,PHO,W (+31),,,14,,,,,,6,8,.750,,,,,,,,,34,\
69,69,1973-03-16,25-334,MIL,@,CHI,W (+8),,,9,,,,,,6,9,.667,,,,,,,,,24,\
70,70,1973-03-18,25-336,MIL,@,ATL,W (+1),,,9,,,,,,4,4,1.000,,,,,,,,,22,\
71,71,1973-03-19,25-337,MIL,,DET,W (+19),,,13,,,,,,1,1,1.000,,,,,,,,,27,\
72,72,1973-03-21,25-339,MIL,@,SEA,W (+23),,,15,,,,,,6,12,.500,,,,,,,,,36,\
73,73,1973-03-22,25-340,MIL,@,GSW,W (+10),,,11,,,,,,5,6,.833,,,,,,,,,27,\
74,74,1973-03-25,25-343,MIL,@,PHO,W (+2),,,13,,,,,,10,11,.909,,,,,,,,,36,\
75,75,1973-03-26,25-344,MIL,@,POR,W (+19),,,14,,,,,,3,3,1.000,,,,,,,,,31,\
76,76,1973-03-27,25-345,MIL,@,LAL,W (+1),,,12,,,,,,0,1,.000,,,,,,,,,24,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1973-10-12,26-179,MIL,@,PHO,W (+23),,,8,,,,,,2,4,.500,,,,,,,,,18,\
2,2,1973-10-13,26-180,MIL,@,GSW,W (+12),,,13,,,,,,3,5,.600,,,,,,,,,29,\
3,3,1973-10-14,26-181,MIL,@,SEA,L (-9),,,10,,,,,,3,7,.429,,,,,,,,,23,\
4,4,1973-10-17,26-184,MIL,,GSW,W (+14),,,10,,,,,,2,2,1.000,,,,,,,,,22,\
5,5,1973-10-19,26-186,MIL,@,DET,W (+2),,,9,,,,,,2,2,1.000,,,,,,,,,20,\
6,6,1973-10-20,26-187,MIL,,CLE,W (+13),,,13,,,,,,7,13,.538,,,,,,,,,33,\
7,7,1973-10-24,26-191,MIL,,BUF,W (+17),,,13,,,,,,5,7,.714,,,,,,,,,31,\
8,8,1973-10-26,26-193,MIL,@,PHI,W (+6),,,17,,,,,,1,2,.500,,,,,,,,,35,\
9,9,1973-10-27,26-194,MIL,,PHO,W (+9),,,7,,,,,,3,7,.429,,,,,,,,,17,\
10,10,1973-10-30,26-197,MIL,@,KCO,W (+34),,,9,,,,,,4,4,1.000,,,,,,,,,22,\
11,11,1973-11-02,26-200,MIL,@,CLE,W (+18),,,13,,,,,,9,10,.900,,,,,,,,,35,\
12,12,1973-11-03,26-201,MIL,,DET,W (+8),,,7,,,,,,5,7,.714,,,,,,,,,19,\
13,13,1973-11-07,26-205,MIL,,LAL,W (+17),,,11,,,,,,0,0,,,,,,,,,,22,\
14,14,1973-11-10,26-208,MIL,,KCO,W (+1),,,7,,,,,,5,6,.833,,,,,,,,,19,\
15,15,1973-11-11,26-209,MIL,@,CAP,W (+19),,,11,,,,,,2,2,1.000,,,,,,,,,24,\
16,16,1973-11-13,26-211,MIL,,POR,W (+8),,,10,,,,,,1,1,1.000,,,,,,,,,21,\
17,17,1973-11-16,26-214,MIL,@,BOS,L (-15),,,14,,,,,,0,0,,,,,,,,,,28,\
18,18,1973-11-17,26-215,MIL,@,NYK,L (-7),,,9,,,,,,6,7,.857,,,,,,,,,24,\
19,19,1973-11-20,26-218,MIL,,GSW,L (-3),,,9,,,,,,2,2,1.000,,,,,,,,,20,\
20,20,1973-11-22,26-220,MIL,,NYK,W (+16),,,9,,,,,,2,3,.667,,,,,,,,,20,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1973-11-24,26-222,MIL,@,ATL,W (+20),,,9,,,,,,3,5,.600,,,,,,,,,21,\
22,22,1973-11-25,26-223,MIL,,PHI,W (+9),,,14,,,,,,3,7,.429,,,,,,,,,31,\
23,23,1973-11-27,26-225,MIL,@,BUF,W (+5),,,17,,,,,,2,2,1.000,,,,,,,,,36,\
24,24,1973-11-28,26-226,MIL,,SEA,W (+34),,,15,,,,,,2,3,.667,,,,,,,,,32,\
25,25,1973-11-30,26-228,MIL,,BOS,W (+24),,,12,,,,,,0,0,,,,,,,,,,24,\
26,26,1973-12-04,26-232,MIL,,HOU,W (+15),,,11,,,,,,10,12,.833,,,,,,,,,32,\
27,27,1973-12-07,26-235,MIL,,POR,W (+30),,,6,,,,,,0,0,,,,,,,,,,12,\
28,28,1973-12-08,26-236,MIL,@,PHI,W (+13),,,5,,,,,,3,4,.750,,,,,,,,,13,\
29,29,1973-12-11,26-239,MIL,,SEA,W (+39),,,8,,,,,,0,0,,,,,,,,,,16,\
30,30,1973-12-13,26-241,MIL,,CHI,L (-3),,,10,,,,,,3,6,.500,,,,,,,,,23,\
31,31,1973-12-15,26-243,MIL,,ATL,W (+34),,,9,,,,,,3,4,.750,,,,,,,,,21,\
32,32,1973-12-16,26-244,MIL,@,POR,W (+23),,,12,,,,,,8,9,.889,,,,,,,,,32,\
33,33,1973-12-18,26-246,MIL,@,LAL,L (-2),,,17,,,,,,3,4,.750,,,,,,,,,37,\
34,34,1973-12-22,26-250,MIL,@,PHO,L (-9),,,8,,,,,,5,9,.556,,,,,,,,,21,\
35,35,1973-12-26,26-254,MIL,,CLE,W (+13),,,15,,,,,,8,9,.889,,,,,,,,,38,\
36,36,1973-12-27,26-255,MIL,,PHI,W (+22),,,12,,,,,,2,4,.500,,,,,,,,,26,\
37,37,1973-12-28,26-256,MIL,@,HOU,W (+16),,,15,,,,,,1,2,.500,,,,,,,,,31,\
38,38,1973-12-30,26-258,MIL,,DET,L (-7),,,14,,,,,,2,3,.667,,,,,,,,,30,\
39,39,1974-01-02,26-261,MIL,@,DET,L (-14),,,7,,,,,,0,0,,,,,,,,,,14,\
40,40,1974-01-03,26-262,MIL,,KCO,W (+15),,,17,,,,,,4,4,1.000,,,,,,,,,38,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
41,41,1974-01-05,26-264,MIL,,PHO,W (+9),,,16,,,,,,2,3,.667,,,,,,,,,34,\
42,42,1974-01-06,26-265,MIL,@,CAP,L (-2),,,10,,,,,,5,7,.714,,,,,,,,,25,\
43,43,1974-01-11,26-270,MIL,,CAP,W (+2),,,15,,,,,,4,5,.800,,,,,,,,,34,\
44,44,1974-01-12,26-271,MIL,@,CHI,W (+19),,,9,,,,,,2,4,.500,,,,,,,,,20,\
45,45,1974-01-13,26-272,MIL,,CHI,W (+30),,,10,,,,,,3,3,1.000,,,,,,,,,23,\
46,46,1974-01-19,26-278,MIL,,POR,W (+15),,,14,,,,,,6,8,.750,,,,,,,,,34,\
47,47,1974-01-20,26-279,MIL,,LAL,W (+4),,,17,,,,,,5,7,.714,,,,,,,,,39,\
48,48,1974-01-23,26-282,MIL,,BUF,W (+26),,,15,,,,,,8,9,.889,,,,,,,,,38,\
49,49,1974-01-25,26-284,MIL,@,PHO,W (+4),,,11,,,,,,9,13,.692,,,,,,,,,31,\
50,50,1974-01-27,26-286,MIL,@,LAL,L (-7),,,10,,,,,,5,5,1.000,,,,,,,,,25,\
51,51,1974-01-29,26-288,MIL,@,POR,W (+20),,,11,,,,,,3,4,.750,,,,,,,,,25,\
52,52,1974-02-01,26-291,MIL,@,SEA,L (-25),,,6,,,,,,6,9,.667,,,,,,,,,18,\
53,53,1974-02-02,26-292,MIL,@,GSW,L (-29),,,11,,,,,,1,3,.333,,,,,,,,,23,\
54,54,1974-02-05,26-295,MIL,@,CLE,W (+15),,,16,,,,,,1,5,.200,,,,,,,,,33,\
55,55,1974-02-06,26-296,MIL,,BOS,L (-1),,,15,,,,,,2,3,.667,,,,,,,,,32,\
56,56,1974-02-10,26-300,MIL,,BOS,W (+9),,,13,,,,,,2,5,.400,,,,,,,,,28,\
57,57,1974-02-12,26-302,MIL,@,CHI,L (-12),,,14,,,,,,2,4,.500,,,,,,,,,30,\
58,58,1974-02-14,26-304,MIL,@,DET,W (+3),,,10,,,,,,7,11,.636,,,,,,,,6,27,\
59,59,1974-02-15,26-305,MIL,,CHI,L (-2),,,12,,,,,,3,5,.600,,,,,,,,,27,\
60,60,1974-02-17,26-307,MIL,,NYK,W (+11),,,16,,,,,,0,0,,,,,,,,,,32,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
61,61,1974-02-19,26-309,MIL,@,BUF,L (-36),,,17,,,,,,4,8,.500,,,,,,,,,38,\
62,62,1974-02-20,26-310,MIL,,ATL,W (+16),,,16,,,,,,0,1,.000,,,,,,,,,32,\
63,63,1974-02-22,26-312,MIL,@,HOU,W (+9),,,17,,,,,,4,8,.500,,,,,,,,,38,\
64,64,1974-02-24,26-314,MIL,@,KCO,W (+7),,,8,,,,,,3,4,.750,,,,,,,,,19,\
65,65,1974-02-27,26-317,MIL,,LAL,L (-2),,,11,,,,,,11,14,.786,,,,,,,,,33,\
66,66,1974-02-28,26-318,MIL,,DET,W (+23),,,8,,,,,,2,3,.667,,,,,,,,,18,\
67,67,1974-03-01,26-319,MIL,@,ATL,L (-16),,,6,,,,,,3,4,.750,,,,,,,,,15,\
68,68,1974-03-02,26-320,MIL,,SEA,W (+17),,,11,,,,,,9,10,.900,,,,,,,,,31,\
69,69,1974-03-03,26-321,MIL,,HOU,W (+6),,,19,,,,,,6,9,.667,,,,,,,,,44,\
70,70,1974-03-04,26-322,MIL,,KCO,W (+6),,,7,,,,,,6,8,.750,,,,,,,,,20,\
71,71,1974-03-06,26-324,MIL,@,KCO,W (+12),,,10,,,,,,5,6,.833,,,,,,,,,25,\
72,72,1974-03-07,26-325,MIL,,GSW,L (-2),,,13,,,,,,1,1,1.000,,,,,,,,,27,\
73,73,1974-03-09,26-327,MIL,@,NYK,L (-13),,,12,,,,,,3,5,.600,,,,,,,,,27,\
74,74,1974-03-11,26-329,MIL,,PHO,W (+13),,,7,,,,,,4,6,.667,,,,,,,,,18,\
75,75,1974-03-15,26-333,MIL,@,DET,L (-4),,,10,,,,,,0,1,.000,,,,,,,,,20,\
76,76,1974-03-17,26-335,MIL,@,CHI,W (+25),,,18,,,,,,2,3,.667,,,,,,,,,38,\
77,77,1974-03-19,26-337,MIL,@,GSW,W (+11),,,13,,,,,,5,7,.714,,,,,,,,,31,\
78,78,1974-03-20,26-338,MIL,@,LAL,L (-6),,,9,,,,,,9,10,.900,,,,,,,,6,27,\
79,79,1974-03-22,26-340,MIL,@,SEA,W (+5),,,17,,,,,,6,8,.750,,,,,,,,,40,\
80,80,1974-03-24,26-342,MIL,@,POR,W (+10),,,19,,,,,,5,7,.714,,,,,,,,,43,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
81,81,1974-03-26,26-344,MIL,,KCO,W (+20),,,7,,,,,,5,6,.833,,,,,,,,,19,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
1,1,1974-11-23,27-221,MIL,@,NYK,W (+18),,,8,,,,,,1,1,1.000,,,,,,,,,17,\
2,2,1974-11-26,27-224,MIL,,LAL,L (-3),,,13,,,,,,10,13,.769,,,,,,,,,36,\
3,3,1974-11-29,27-227,MIL,,KCO,W (+3),,,14,,,,,,9,11,.818,,,,,,,,,37,\
4,4,1974-11-30,27-228,MIL,,CHI,W (+2),,,11,,,,,,6,9,.667,,,,,,,,6,28,\
5,5,1974-12-01,27-229,MIL,,PHI,W (+5),,,13,,,,,,9,10,.900,,,,,,,,,35,\
6,6,1974-12-03,27-231,MIL,@,BUF,W (+9),,,16,,,,,,4,4,1.000,,,,,,,,,36,\
7,7,1974-12-04,27-232,MIL,,SEA,L (-9),,,8,,,,,,6,7,.857,,,,,,,,,22,\
8,8,1974-12-06,27-234,MIL,@,CHI,W (+3),,,7,,,,,,7,11,.636,,,,,,,,,21,\
9,9,1974-12-10,27-238,MIL,,DET,W (+8),,,10,,,,,,3,3,1.000,,,,,,,,,23,\
10,10,1974-12-12,27-240,MIL,,KCO,L (-8),,,14,,,,,,3,4,.750,,,,,,,,,31,\
11,11,1974-12-13,27-241,MIL,@,PHI,L (-4),,,11,,,,,,4,5,.800,,,,,,,,,26,\
12,12,1974-12-17,27-245,MIL,@,POR,L (-16),,,10,,,,,,3,4,.750,,,,,,,,,23,\
13,13,1974-12-19,27-247,MIL,@,PHO,W (+4),,,9,,,,,,10,11,.909,,,,,,,,,28,\
14,14,1974-12-22,27-250,MIL,,NOJ,W (+20),,,9,,,,,,5,10,.500,,,,,,,,,23,\
15,15,1974-12-23,27-251,MIL,,WSB,L (-3),,,10,,,,,,0,2,.000,,,,,,,,,20,\
16,16,1974-12-29,27-257,MIL,,NYK,W (+26),,,11,,,,,,5,7,.714,,,,,,,,,27,\
17,17,1974-12-30,27-258,MIL,,BUF,W (+15),,,15,,,,,,1,2,.500,,,,,,,,,31,\
18,18,1975-01-02,27-261,MIL,,ATL,W (+5),,,18,,,,,,16,20,.800,,,,,,,,,52,\
19,19,1975-01-04,27-263,MIL,,HOU,W (+4),,,15,,,,,,7,9,.778,,,,,,,,,37,\
20,20,1975-01-05,27-264,MIL,,CHI,W (+1),,,14,,,,,,5,8,.625,,,,,,,,,33,\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc\
21,21,1975-01-07,27-266,MIL,@,KCO,L (-9),,,17,,,,,,5,6,.833,,,,,,,,,39,\
22,22,1975-01-08,27-267,MIL,@,DET,W (+10),,,9,,,,,,5,7,.714,,,,,,,,,23,\
23,23,1975-01-10,27-269,MIL,,DET,L (-8),,,8,,,,,,6,6,1.000,,,,,,,,,22,\
24,24,1975-01-11,27-270,MIL,@,CLE,W (+10),,,14,,,,,,4,5,.800,,,,,,,,,32,\
25,25,1975-01-12,27-271,MIL,,PHI,W (+11),,,12,,,,,,5,8,.625,,,,,,,,,29,\
26,26,1975-01-16,27-275,MIL,,GSW,W (+19),,,18,,,,,,4,8,.500,,,,,,,,,40,\
27,27,1975-01-19,27-278,MIL,,POR,W (+14),,,18,,,,,,14,16,.875,,,,,,,,,50,\
28,28,1975-01-24,27-283,MIL,@,HOU,L (-4),,,13,,,,,,3,3,1.000,,,,,,,,,29,\
29,29,1975-01-25,27-284,MIL,@,ATL,L (-16),,,8,,,,,,6,10,.600,,,,,,,,,22,\
30,30,1975-01-27,27-286,MIL,@,NOJ,W (+2),,,17,,,,,,7,10,.700,,,,,,,,,41,\
