{\rtf1\ansi\ansicpg1252\cocoartf1404\cocoasubrtf130
{\fonttbl\f0\fmodern\fcharset0 Courier;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\partightenfactor0

\f0\fs26 \cf0 \expnd0\expndtw0\kerning0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
1,1,2013-10-30,37-188,SAS,,MEM,W (+7),1,17:17,1,6,.167,0,0,,1,3,.333,0,6,6,2,0,0,0,2,3,0.8,-1\
2,,2013-11-01,37-190,SAS,@,LAL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
3,2,2013-11-02,37-191,SAS,@,POR,L (-10),1,31:03,12,23,.522,0,1,.000,0,0,,3,4,7,1,0,1,0,3,24,16.2,-8\
4,3,2013-11-05,37-194,SAS,@,DEN,W (+8),1,33:57,7,15,.467,0,0,,3,3,1.000,2,6,8,8,0,4,4,4,17,15.3,-1\
5,4,2013-11-06,37-195,SAS,,PHO,W (+3),1,28:27,7,12,.583,0,0,,3,4,.750,1,4,5,5,0,1,2,1,17,14.7,+10\
6,5,2013-11-08,37-197,SAS,,GSW,W (+2),1,32:07,3,11,.273,0,0,,2,2,1.000,1,3,4,5,1,2,3,2,8,5.2,+3\
7,6,2013-11-10,37-199,SAS,@,NYK,W (+31),1,23:47,1,4,.250,0,0,,9,11,.818,2,8,10,2,0,1,2,1,11,11.3,+18\
8,,2013-11-11,37-200,SAS,@,PHI,W (+24),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play\
9,7,2013-11-13,37-202,SAS,,WAS,W (+13),1,25:36,1,12,.083,0,0,,0,0,,0,8,8,3,0,2,2,0,2,-2.1,-3\
10,8,2013-11-15,37-204,SAS,@,UTA,W (+9),1,34:07,7,16,.438,0,0,,0,1,.000,2,7,9,2,0,3,1,0,14,11.2,+11\
11,9,2013-11-20,37-209,SAS,,BOS,W (+11),1,27:34,3,13,.231,0,0,,7,8,.875,1,8,9,3,0,0,0,2,13,9.1,+2\
12,10,2013-11-22,37-211,SAS,@,MEM,W (+16),1,32:04,3,8,.375,0,0,,2,3,.667,0,6,6,4,0,2,1,2,8,7.4,+6\
13,11,2013-11-23,37-212,SAS,,CLE,W (+30),1,16:24,4,6,.667,0,0,,1,2,.500,1,5,6,1,0,3,0,0,9,11.0,+32\
14,12,2013-11-25,37-214,SAS,,NOP,W (+19),1,24:40,4,8,.500,0,0,,2,4,.500,1,4,5,3,1,3,3,0,10,9.3,+17\
15,13,2013-11-27,37-216,SAS,@,OKC,L (-6),1,28:30,5,14,.357,0,0,,1,2,.500,2,6,8,0,1,2,3,0,11,5.4,-5\
16,14,2013-11-29,37-218,SAS,@,ORL,W (+18),1,23:13,8,13,.615,0,0,,3,3,1.000,3,6,9,2,1,1,2,2,19,17.3,+3\
17,15,2013-11-30,37-219,SAS,,HOU,L (-6),1,32:47,8,13,.615,0,1,.000,4,5,.800,1,7,8,3,1,3,2,2,20,18.9,-4\
18,16,2013-12-02,37-221,SAS,,ATL,W (+2),1,34:36,10,15,.667,0,0,,3,4,.750,6,15,21,2,1,2,3,0,23,25.6,+1\
19,17,2013-12-07,37-226,SAS,,IND,L (-11),1,26:29,3,10,.300,0,0,,4,4,1.000,2,4,6,4,0,1,2,3,10,7.1,-18\
20,18,2013-12-10,37-229,SAS,@,TOR,W (+13),1,24:15,6,11,.545,0,0,,2,5,.400,2,5,7,1,0,0,3,1,14,7.7,+5\
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-\
21,19,2013-12-11,37-230,SAS,@,MIL,W (+32),1,24:07,9,12,.750,0,0,,3,3,1.000,6,10,16,3,0,2,1,1,21,25.5,+31\
22,20,2013-12-13,37-232,SAS,,MIN,W (+7),1,34:51,5,11,.455,0,0,,2,2,1.000,3,11,14,8,2,3,2,2,12,18.6,-2\
23,21,2013-12-14,37-233,SAS,@,UTA,W (+16),1,28:40,9,17,.529,0,0,,4,6,.667,2,10,12,3,0,0,2,2,22,16.6,+5\
24,22,2013-12-16,37-235,SAS,@,LAC,L (-23),1,32:17,5,12,.417,0,0,,7,8,.875,2,9,11,5,1,1,2,4,17,15.9,-6\
25,23,2013-12-18,37-237,SAS,@,PHO,W (+7),1,30:39,6,13,.462,0,0,,5,5,1.000,6,7,13,2,2,3,5,1,17,16.7,+5\
26,,2013-12-19,37-238,SAS,@,GSW,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive\
27,24,2013-12-21,37-240,SAS,,OKC,L (-13),1,35:01,7,14,.500,0,0,,3,4,.750,3,7,10,1,1,2,2,0,17,14.9,-10\
