Player,Tm,2015-16,DRtg,ORtg
Cory Joseph,Toronto Raptors,7000000,108,106
Boris Diaw,San Antonio Spurs,7000000,102,109
Ed Davis,Portland Trail Blazers,7000000,104,128
Lou Williams,Los Angeles Lakers,7000000,114,115
Marvin Williams,Charlotte Hornets,7000000,104,118
Isaiah Thomas,Boston Celtics,6912869,107,113
J.J. Redick,Los Angeles Clippers,6867000,109,118
Greivis Vasquez,Milwaukee Bucks,6600000,113,90
Carl Landry,Philadelphia 76ers,6500000,110,120
Rodney Stuckey,Indiana Pacers,6500000,105,101
Patrick Beverley,Houston Rockets,6500000,110,114
Aron Baynes,Detroit Pistons,6500000,104,114
Jason Thompson,Golden State Warriors,6431250,103,121
Marco Belinelli,Sacramento Kings,6333333,113,99
Michael Kidd-Gilchrist,Charlotte Hornets,6331404,106,118
Jarrett Jack,Brooklyn Nets,6300000,112,101
Jodie Meeks,Detroit Pistons,6270000,111,111
Patrick Patterson,Toronto Raptors,6268675,107,108
Gerald Henderson,Portland Trail Blazers,6000000,109,104
Jae Crowder,Boston Celtics,6000000,102,113
Andrew Wiggins,Minnesota Timberwolves,5758680,113,106
Kyle Korver,Atlanta Hawks,5746479,105,104
Karl-Anthony Towns,Minnesota Timberwolves,5703600,106,112
Bradley Beal,Washington Wizards,5694674,108,103
Jamal Crawford,Los Angeles Clippers,5675000,109,104
Courtney Lee,Charlotte Hornets,5675000,111,109
J.J. Hickson,Denver Nuggets,5613500,105,104
Josh McRoberts,Miami Heat,5543725,105,99
Shaun Livingston,Golden State Warriors,5543725,106,119
Spencer Hawes,Charlotte Hornets,5543725,104,103
Nikola Mirotic,Chicago Bulls,5543725,104,107
P.J. Tucker,Phoenix Suns,5500000,109,105
Mirza Teletovic,Phoenix Suns,5500000,110,111
Brandan Wright,Memphis Grizzlies,5500000,106,119
Deron Williams,Dallas Mavericks,5500000,109,105
Josh Smith,Detroit Pistons,5400000,109,90
Nick Young,Los Angeles Lakers,5219169,115,98
Zaza Pachulia,Dallas Mavericks,5200000,104,113
