,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year,diff
88,New Orleans Pelicans,98.0,Dallas Mavericks,107.0,2016,-9.0
89,Houston Rockets,109.0,Los Angeles Clippers,105.0,2016,4.0
90,Brooklyn Nets,86.0,Milwaukee Bucks,94.0,2016,-8.0
91,Orlando Magic,105.0,Philadelphia 76ers,97.0,2016,8.0
92,Golden State Warriors,103.0,Sacramento Kings,94.0,2016,9.0
93,Charlotte Hornets,94.0,San Antonio Spurs,114.0,2016,-20.0
94,Memphis Grizzlies,79.0,Utah Jazz,89.0,2016,-10.0
95,Indiana Pacers,97.0,Cleveland Cavaliers,101.0,2016,-4.0
96,Toronto Raptors,76.0,Miami Heat,96.0,2016,-20.0
97,Los Angeles Lakers,95.0,New York Knicks,99.0,2016,-4.0
98,Phoenix Suns,103.0,Oklahoma City Thunder,124.0,2016,-21.0
99,Detroit Pistons,120.0,Portland Trail Blazers,103.0,2016,17.0
100,Minnesota Timberwolves,117.0,Atlanta Hawks,107.0,2016,10.0
101,Portland Trail Blazers,104.0,Denver Nuggets,108.0,2016,-4.0
102,Detroit Pistons,95.0,Golden State Warriors,109.0,2016,-14.0
103,Orlando Magic,84.0,Indiana Pacers,97.0,2016,-13.0
104,Memphis Grizzlies,92.0,Los Angeles Clippers,94.0,2016,-2.0
105,Chicago Bulls,111.0,Philadelphia 76ers,88.0,2016,23.0
106,San Antonio Spurs,106.0,Sacramento Kings,88.0,2016,18.0
107,Utah Jazz,114.0,Cleveland Cavaliers,118.0,2016,-4.0
108,Los Angeles Lakers,88.0,Miami Heat,101.0,2016,-13.0
109,Boston Celtics,99.0,Milwaukee Bucks,83.0,2016,16.0
110,Charlotte Hornets,104.0,Minnesota Timberwolves,95.0,2016,9.0
111,Dallas Mavericks,105.0,New Orleans Pelicans,120.0,2016,-15.0
112,New York Knicks,111.0,Toronto Raptors,109.0,2016,2.0
113,Oklahoma City Thunder,125.0,Washington Wizards,101.0,2016,24.0
114,New Orleans Pelicans,98.0,Atlanta Hawks,106.0,2016,-8.0
115,Indiana Pacers,102.0,Boston Celtics,91.0,2016,11.0
116,New York Knicks,93.0,Charlotte Hornets,95.0,2016,-2.0
117,Los Angeles Clippers,108.0,Dallas Mavericks,118.0,2016,-10.0
118,Milwaukee Bucks,102.0,Denver Nuggets,103.0,2016,-1.0
119,Brooklyn Nets,106.0,Houston Rockets,98.0,2016,8.0
120,Golden State Warriors,100.0,Memphis Grizzlies,84.0,2016,16.0
121,Los Angeles Lakers,99.0,Orlando Magic,101.0,2016,-2.0
122,Toronto Raptors,119.0,Philadelphia 76ers,103.0,2016,16.0
123,San Antonio Spurs,113.0,Portland Trail Blazers,101.0,2016,12.0
124,Detroit Pistons,92.0,Sacramento Kings,101.0,2016,-9.0
125,Utah Jazz,91.0,Miami Heat,92.0,2016,-1.0
126,Golden State Warriors,129.0,Minnesota Timberwolves,116.0,2016,13.0
127,Los Angeles Clippers,104.0,Phoenix Suns,118.0,2016,-14.0
128,Atlanta Hawks,93.0,Boston Celtics,106.0,2016,-13.0
129,Charlotte Hornets,97.0,Chicago Bulls,102.0,2016,-5.0
130,Los Angeles Lakers,82.0,Dallas Mavericks,90.0,2016,-8.0
131,Houston Rockets,98.0,Denver Nuggets,107.0,2016,-9.0
132,Minnesota Timberwolves,103.0,Indiana Pacers,107.0,2016,-4.0
133,Portland Trail Blazers,100.0,Memphis Grizzlies,101.0,2016,-1.0
134,Cleveland Cavaliers,90.0,New York Knicks,84.0,2016,6.0
135,Philadelphia 76ers,85.0,Oklahoma City Thunder,102.0,2016,-17.0
136,Utah Jazz,93.0,Orlando Magic,102.0,2016,-9.0
137,Brooklyn Nets,109.0,Sacramento Kings,111.0,2016,-2.0
138,New Orleans Pelicans,81.0,Toronto Raptors,100.0,2016,-19.0
139,Brooklyn Nets,99.0,Golden State Warriors,107.0,2016,-8.0
140,Dallas Mavericks,110.0,Houston Rockets,98.0,2016,12.0
141,Detroit Pistons,96.0,Los Angeles Clippers,101.0,2016,-5.0
142,Cleveland Cavaliers,105.0,Milwaukee Bucks,108.0,2016,-3.0
143,Denver Nuggets,81.0,Phoenix Suns,105.0,2016,-24.0
144,Philadelphia 76ers,83.0,San Antonio Spurs,92.0,2016,-9.0
145,Orlando Magic,99.0,Washington Wizards,108.0,2016,-9.0
146,Utah Jazz,97.0,Atlanta Hawks,96.0,2016,1.0
147,Portland Trail Blazers,94.0,Charlotte Hornets,106.0,2016,-12.0
148,Detroit Pistons,85.0,Los Angeles Lakers,97.0,2016,-12.0
149,Memphis Grizzlies,114.0,Minnesota Timberwolves,106.0,2016,8.0
150,New Orleans Pelicans,87.0,New York Knicks,95.0,2016,-8.0
151,Boston Celtics,100.0,Oklahoma City Thunder,85.0,2016,15.0
152,Toronto Raptors,101.0,Sacramento Kings,107.0,2016,-6.0
153,Indiana Pacers,95.0,Chicago Bulls,96.0,2016,-1.0
154,Boston Celtics,111.0,Houston Rockets,95.0,2016,16.0
155,Oklahoma City Thunder,114.0,Memphis Grizzlies,122.0,2016,-8.0
156,Dallas Mavericks,92.0,Philadelphia 76ers,86.0,2016,6.0
157,Los Angeles Lakers,101.0,Phoenix Suns,120.0,2016,-19.0
158,Portland Trail Blazers,80.0,San Antonio Spurs,93.0,2016,-13.0
159,Atlanta Hawks,88.0,Brooklyn Nets,90.0,2016,-2.0
160,Cleveland Cavaliers,99.0,Detroit Pistons,104.0,2016,-5.0
161,Toronto Raptors,110.0,Golden State Warriors,115.0,2016,-5.0
162,Minnesota Timberwolves,103.0,Miami Heat,91.0,2016,12.0
163,Denver Nuggets,115.0,New Orleans Pelicans,98.0,2016,17.0
164,Charlotte Hornets,94.0,New York Knicks,102.0,2016,-8.0
165,Milwaukee Bucks,86.0,Washington Wizards,115.0,2016,-29.0
166,Sacramento Kings,97.0,Atlanta Hawks,103.0,2016,-6.0
167,Dallas Mavericks,106.0,Boston Celtics,102.0,2016,4.0
168,Brooklyn Nets,111.0,Charlotte Hornets,116.0,2016,-5.0
169,Portland Trail Blazers,103.0,Houston Rockets,108.0,2016,-5.0
170,New Orleans Pelicans,103.0,Oklahoma City Thunder,110.0,2016,-7.0
171,Minnesota Timberwolves,101.0,Orlando Magic,104.0,2016,-3.0
172,Indiana Pacers,112.0,Philadelphia 76ers,85.0,2016,27.0
173,Chicago Bulls,103.0,Phoenix Suns,97.0,2016,6.0
174,Denver Nuggets,98.0,San Antonio Spurs,109.0,2016,-11.0
175,Toronto Raptors,89.0,Utah Jazz,93.0,2016,-4.0
176,Milwaukee Bucks,100.0,Cleveland Cavaliers,115.0,2016,-15.0
177,Golden State Warriors,124.0,Los Angeles Clippers,117.0,2016,7.0
178,Sacramento Kings,109.0,Miami Heat,116.0,2016,-7.0
179,Brooklyn Nets,95.0,Boston Celtics,120.0,2016,-25.0
180,Philadelphia 76ers,88.0,Charlotte Hornets,113.0,2016,-25.0
181,Utah Jazz,93.0,Dallas Mavericks,102.0,2016,-9.0
182,Phoenix Suns,114.0,Denver Nuggets,107.0,2016,7.0
183,Chicago Bulls,94.0,Golden State Warriors,106.0,2016,-12.0
184,Toronto Raptors,102.0,Los Angeles Lakers,91.0,2016,11.0
185,Houston Rockets,84.0,Memphis Grizzlies,96.0,2016,-12.0
186,Detroit Pistons,96.0,Minnesota Timberwolves,86.0,2016,10.0
187,San Antonio Spurs,90.0,New Orleans Pelicans,104.0,2016,-14.0
188,New York Knicks,93.0,Oklahoma City Thunder,90.0,2016,3.0
189,Los Angeles Clippers,91.0,Portland Trail Blazers,102.0,2016,-11.0
190,Atlanta Hawks,97.0,Cleveland Cavaliers,109.0,2016,-12.0
191,Washington Wizards,97.0,Detroit Pistons,95.0,2016,2.0
192,New York Knicks,107.0,Houston Rockets,102.0,2016,5.0
