Player,Tm,2015-16,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Tm_Index
Enes Kanter,Oklahoma City Thunder,16400000,C,23,82,1,1721,11.9,20.7,0.576,0.3,0.6,0.476,11.7,20.1,0.579,5.8,7.2,0.797,7.2,12.0,19.2,1.0,0.7,1.0,3.3,4.8,29.9,123.0,105.0,17
Greg Monroe,Milwaukee Bucks,16400000,C,25,79,67,2314,10.8,20.7,0.522,0.0,0.0,0.0,10.8,20.7,0.522,5.0,6.8,0.74,4.8,10.5,15.3,3.9,1.6,1.5,2.8,3.6,26.6,113.0,106.0,19
Wesley Matthews,Dallas Mavericks,16400000,SG,29,78,78,2644,6.4,16.4,0.388,3.6,10.1,0.36,2.7,6.3,0.432,2.4,2.8,0.863,0.5,4.1,4.6,2.9,1.5,0.3,1.5,3.4,18.8,105.0,109.0,14
Tobias Harris,Detroit Pistons,16000000,PF,23,76,74,2513,8.3,17.7,0.469,1.6,4.8,0.335,6.7,13.0,0.518,4.0,4.9,0.831,1.9,8.3,10.2,3.4,1.3,0.8,2.2,3.1,22.3,112.0,107.0,5
John Wall,Washington Wizards,15851950,PG,25,77,77,2784,10.0,23.6,0.424,2.0,5.7,0.351,8.0,17.9,0.448,4.8,6.0,0.791,0.7,5.9,6.6,13.8,2.5,1.0,5.6,2.8,26.8,102.0,104.0,12
James Harden,Houston Rockets,15756438,SG,26,82,82,3125,11.2,25.4,0.439,3.7,10.3,0.359,7.5,15.1,0.494,11.3,13.2,0.86,1.0,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,115.0,108.0,13
Eric Gordon,New Orleans Pelicans,15514031,SG,27,45,44,1481,7.7,18.5,0.418,3.8,9.8,0.384,4.0,8.6,0.457,3.7,4.2,0.888,0.3,3.0,3.3,4.1,1.4,0.5,2.4,3.3,23.0,108.0,113.0,24
Roy Hibbert,Los Angeles Lakers,15500000,C,29,81,81,1878,4.9,11.0,0.443,0.0,0.1,0.0,4.9,10.9,0.445,3.1,3.9,0.807,3.5,7.1,10.6,2.5,0.9,2.9,2.0,6.7,12.9,105.0,110.0,1
Klay Thompson,Golden State Warriors,15500000,SG,25,80,80,2666,11.8,25.1,0.47,5.0,11.8,0.425,6.8,13.3,0.51,3.5,4.0,0.873,0.6,4.9,5.5,3.0,1.1,0.9,2.5,2.8,32.1,112.0,107.0,10
David Lee,Boston Celtics,15493680,PF,32,55,5,903,9.8,18.5,0.531,0.0,0.1,0.0,9.8,18.4,0.533,3.9,5.1,0.763,5.6,11.2,16.8,4.6,1.2,1.5,3.6,6.3,23.5,111.0,103.0,6
Gordon Hayward,Utah Jazz,15409570,SF,25,80,80,2893,9.5,21.9,0.433,2.6,7.5,0.349,6.9,14.4,0.477,7.2,8.7,0.824,1.1,6.1,7.2,5.4,1.7,0.5,3.7,3.3,28.8,110.0,105.0,21
Chandler Parsons,Dallas Mavericks,15361500,SF,27,61,51,1799,9.1,18.4,0.492,2.9,7.1,0.416,6.1,11.3,0.539,2.6,3.8,0.684,0.8,7.2,8.1,4.8,1.3,0.6,2.7,3.2,23.7,110.0,108.0,14
Jimmy Butler,Chicago Bulls,15260000,SG,26,67,67,2474,9.5,21.0,0.455,1.3,4.2,0.311,8.2,16.8,0.49,8.0,9.6,0.832,1.6,5.7,7.3,6.5,2.2,0.9,2.7,2.5,28.4,116.0,106.0,11
Khris Middleton,Milwaukee Bucks,15000000,SG,24,79,79,2852,9.1,20.4,0.444,2.6,6.4,0.396,6.5,13.9,0.466,4.9,5.6,0.888,0.8,4.6,5.4,5.9,2.3,0.3,3.2,3.6,25.6,109.0,110.0,19
Goran Dragic,Miami Heat,14780000,PG,29,72,72,2363,9.1,19.0,0.477,1.4,4.4,0.312,7.7,14.5,0.527,2.6,3.6,0.727,1.2,4.8,6.0,9.1,1.5,0.4,4.0,4.1,22.1,105.0,107.0,7
Kyrie Irving,Cleveland Cavaliers,14746000,PG,23,53,53,1667,12.2,27.1,0.448,2.6,8.1,0.322,9.6,19.1,0.502,5.2,5.9,0.885,1.4,3.5,4.8,7.7,1.7,0.6,3.8,3.3,32.1,109.0,106.0,25
DeMarcus Cousins,Sacramento Kings,14728844,C,25,65,65,2246,12.9,28.5,0.451,1.5,4.5,0.333,11.4,24.0,0.473,10.2,14.2,0.718,3.4,12.6,16.0,4.6,2.2,2.0,5.3,5.0,37.4,103.0,103.0,23
Draymond Green,Golden State Warriors,14300000,PF,25,81,81,2808,6.9,14.1,0.49,1.7,4.4,0.388,5.2,9.7,0.537,3.9,5.7,0.696,2.3,10.9,13.2,10.3,2.1,1.9,4.5,4.1,19.5,115.0,100.0,10
Tristan Thompson,Cleveland Cavaliers,14260870,PF,24,82,34,2269,5.6,9.5,0.588,0.0,0.0,,5.6,9.5,0.588,3.4,5.5,0.616,6.1,10.7,16.7,1.4,0.9,1.2,1.4,4.6,14.6,130.0,104.0,25
Reggie Jackson,Detroit Pistons,14000000,PG,25,79,79,2424,11.2,25.9,0.434,2.5,7.0,0.353,8.8,18.9,0.464,6.1,7.0,0.864,1.2,4.1,5.3,10.2,1.2,0.2,4.6,3.9,31.0,109.0,108.0,5
Danilo Gallinari,Denver Nuggets,14000000,SF,27,53,53,1839,7.8,19.1,0.41,2.4,6.5,0.364,5.5,12.6,0.434,10.2,11.8,0.868,1.4,6.3,7.7,3.7,1.1,0.5,2.1,2.4,28.2,120.0,111.0,29
Al Jefferson,Charlotte Hornets,13833333,C,31,47,18,1096,11.2,23.1,0.485,0.0,0.0,,11.2,23.1,0.485,3.3,5.1,0.649,2.6,11.2,13.8,3.2,1.4,1.9,1.6,5.4,25.7,105.0,102.0,18
DeMarre Carroll,Toronto Raptors,13500000,SF,29,26,22,786,6.9,17.8,0.389,3.0,7.8,0.39,3.9,10.0,0.388,2.0,3.3,0.6,2.0,6.0,8.0,1.8,2.9,0.4,1.8,4.1,18.8,100.0,104.0,20
Tony Parker,San Antonio Spurs,13437500,PG,33,72,72,1980,9.0,18.4,0.493,0.7,1.7,0.415,8.4,16.7,0.501,3.4,4.4,0.76,0.4,4.1,4.6,9.8,1.4,0.3,3.4,2.9,22.2,109.0,103.0,3
